id,produit,categorie,ville,prix,quantite,montant_total,date
1,Souris sans fil,Accessoires,Oujda,115,17,1955,2026-01-27
2,Scanner,Bureautique,Taza,1378,18,24804,2026-04-18
3,Webcam HD,Accessoires,Settat,480,16,7680,2026-05-31
4,Ecran 24 pouces,Informatique,Kenitra,1531,3,4593,2026-01-29
5,Projecteur,Bureautique,Safi,4598,1,4598,2026-05-06
6,Ecran 24 pouces,Informatique,Beni Mellal,1780,12,21360,2026-04-02
7,Switch 24 ports,Reseau,Marrakech,2162,3,6486,2026-03-29
8,Webcam HD,Accessoires,Tanger,436,10,4360,2026-04-28
9,Scanner,Bureautique,Casablanca,1398,19,26562,2026-03-21
10,Projecteur,Bureautique,Nador,5713,12,68556,2026-04-29
11,Souris sans fil,Accessoires,Mohammedia,118,19,2242,2026-05-22
12,Projecteur,Bureautique,Beni Mellal,4631,17,78727,2026-05-06
13,Scanner,Bureautique,Mohammedia,1343,14,18802,2026-05-25
14,Webcam HD,Accessoires,Oujda,433,1,433,2026-05-28
15,Onduleur,Bureautique,Fes,1297,2,2594,2026-05-14
16,Switch 24 ports,Reseau,Mohammedia,2242,16,35872,2026-02-06
17,Scanner,Bureautique,Mohammedia,1209,4,4836,2026-04-27
18,Switch 24 ports,Reseau,Dakhla,2468,18,44424,2026-03-06
19,Routeur WiFi,Reseau,Laayoune,813,10,8130,2026-05-21
20,Switch 24 ports,Reseau,Meknes,2136,13,27768,2026-04-21
21,Imprimante laser,Bureautique,Tanger,2624,1,2624,2026-01-09
22,Serveur NAS,Stockage,Mohammedia,7184,15,107760,2026-05-14
23,Disque SSD 1To,Stockage,Settat,1289,9,11601,2026-05-05
24,Webcam HD,Accessoires,Dakhla,469,16,7504,2026-04-22
25,Serveur NAS,Stockage,Settat,7238,10,72380,2026-03-23
26,Scanner,Bureautique,Tetouan,1474,15,22110,2026-05-12
27,Casque audio,Accessoires,Mohammedia,410,6,2460,2026-04-19
28,Souris sans fil,Accessoires,Fes,129,16,2064,2026-04-05
29,Ecran 24 pouces,Informatique,Settat,2000,14,28000,2026-02-07
30,Scanner,Bureautique,Taza,1111,1,1111,2026-04-26
31,Webcam HD,Accessoires,Oujda,494,3,1482,2026-02-20
32,Souris sans fil,Accessoires,El Jadida,128,18,2304,2026-03-10
33,Clavier mecanique,Accessoires,Mohammedia,383,19,7277,2026-05-28
34,Switch 24 ports,Reseau,Oujda,2314,5,11570,2026-05-20
35,Casque audio,Accessoires,Kenitra,369,20,7380,2026-05-10
36,Souris sans fil,Accessoires,Taza,119,6,714,2026-02-04
37,Imprimante laser,Bureautique,Laayoune,2363,13,30719,2026-02-08
38,Onduleur,Bureautique,Beni Mellal,1332,1,1332,2026-01-28
39,Scanner,Bureautique,Casablanca,1138,12,13656,2026-04-01
40,Ordinateur portable,Informatique,Settat,8743,11,96173,2026-03-19
41,Disque SSD 1To,Stockage,Taza,1286,16,20576,2026-04-30
42,Tablette graphique,Informatique,Meknes,1810,5,9050,2026-05-14
43,Routeur WiFi,Reseau,Marrakech,801,15,12015,2026-03-01
44,Webcam HD,Accessoires,Rabat,415,7,2905,2026-02-14
45,Serveur NAS,Stockage,Meknes,6452,2,12904,2026-04-26
46,Casque audio,Accessoires,Laayoune,384,1,384,2026-02-03
47,Ecran 24 pouces,Informatique,Agadir,2024,17,34408,2026-02-05
48,Serveur NAS,Stockage,Nador,7102,13,92326,2026-03-11
49,Webcam HD,Accessoires,Kenitra,417,3,1251,2026-04-09
50,Clavier mecanique,Accessoires,Mohammedia,436,9,3924,2026-04-29
51,Onduleur,Bureautique,Agadir,1646,10,16460,2026-04-30
52,Disque SSD 1To,Stockage,Laayoune,1134,15,17010,2026-01-31
53,Onduleur,Bureautique,Meknes,1498,9,13482,2026-01-25
54,Ecran 24 pouces,Informatique,Safi,1533,3,4599,2026-04-27
55,Routeur WiFi,Reseau,El Jadida,780,6,4680,2026-01-07
56,Projecteur,Bureautique,Dakhla,4705,18,84690,2026-05-27
57,Ecran 24 pouces,Informatique,Taza,1599,9,14391,2026-05-23
58,Switch 24 ports,Reseau,Tetouan,1942,10,19420,2026-05-25
59,Serveur NAS,Stockage,Fes,6475,4,25900,2026-03-09
60,Routeur WiFi,Reseau,Agadir,682,2,1364,2026-04-02
61,Serveur NAS,Stockage,Tetouan,6637,17,112829,2026-03-22
62,Tablette graphique,Informatique,Agadir,1828,10,18280,2026-03-22
63,Imprimante laser,Bureautique,Tetouan,2161,1,2161,2026-04-16
64,Routeur WiFi,Reseau,Oujda,890,2,1780,2026-01-25
65,Ordinateur portable,Informatique,Taza,8147,4,32588,2026-05-24
66,Scanner,Bureautique,Errachidia,1495,11,16445,2026-04-27
67,Serveur NAS,Stockage,Beni Mellal,6690,20,133800,2026-01-10
68,Disque SSD 1To,Stockage,Nador,1168,20,23360,2026-04-29
69,Serveur NAS,Stockage,Tetouan,7176,12,86112,2026-05-09
70,Routeur WiFi,Reseau,Nador,714,12,8568,2026-01-15
71,Scanner,Bureautique,Fes,1115,11,12265,2026-03-16
72,Imprimante laser,Bureautique,Casablanca,2573,11,28303,2026-05-30
73,Webcam HD,Accessoires,Rabat,497,7,3479,2026-05-24
74,Switch 24 ports,Reseau,Fes,2517,6,15102,2026-02-01
75,Ordinateur portable,Informatique,Casablanca,7598,12,91176,2026-03-19
76,Routeur WiFi,Reseau,Beni Mellal,789,12,9468,2026-04-17
77,Routeur WiFi,Reseau,Tanger,700,14,9800,2026-02-26
78,Clavier mecanique,Accessoires,Beni Mellal,468,18,8424,2026-05-23
79,Scanner,Bureautique,Casablanca,1221,5,6105,2026-02-28
80,Ordinateur portable,Informatique,Tetouan,8048,16,128768,2026-04-17
81,Disque SSD 1To,Stockage,Agadir,988,19,18772,2026-01-23
82,Webcam HD,Accessoires,Safi,362,17,6154,2026-03-09
83,Serveur NAS,Stockage,Casablanca,6399,11,70389,2026-01-15
84,Serveur NAS,Stockage,Oujda,7392,16,118272,2026-01-15
85,Serveur NAS,Stockage,El Jadida,6373,5,31865,2026-04-13
86,Onduleur,Bureautique,Meknes,1350,9,12150,2026-03-29
87,Disque SSD 1To,Stockage,Mohammedia,1073,15,16095,2026-05-21
88,Scanner,Bureautique,Meknes,1463,19,27797,2026-03-21
89,Clavier mecanique,Accessoires,Casablanca,481,5,2405,2026-05-05
90,Disque SSD 1To,Stockage,Rabat,1248,17,21216,2026-04-15
91,Serveur NAS,Stockage,Dakhla,5644,10,56440,2026-04-06
92,Switch 24 ports,Reseau,Dakhla,1979,4,7916,2026-01-05
93,Ecran 24 pouces,Informatique,Taza,2065,19,39235,2026-03-20
94,Ordinateur portable,Informatique,Laayoune,10067,13,130871,2026-05-18
95,Onduleur,Bureautique,Fes,1559,6,9354,2026-05-11
96,Souris sans fil,Accessoires,Dakhla,107,13,1391,2026-03-27
97,Imprimante laser,Bureautique,Agadir,2204,19,41876,2026-02-18
98,Scanner,Bureautique,El Jadida,1238,18,22284,2026-03-15
99,Clavier mecanique,Accessoires,Errachidia,535,7,3745,2026-01-03
100,Serveur NAS,Stockage,Dakhla,6311,14,88354,2026-04-02
101,Clavier mecanique,Accessoires,Safi,496,1,496,2026-02-15
102,Webcam HD,Accessoires,Laayoune,378,1,378,2026-01-30
103,Serveur NAS,Stockage,Marrakech,7184,1,7184,2026-04-06
104,Disque SSD 1To,Stockage,Errachidia,1051,18,18918,2026-02-09
105,Tablette graphique,Informatique,Mohammedia,1498,4,5992,2026-03-25
106,Souris sans fil,Accessoires,Tetouan,138,3,414,2026-04-08
107,Tablette graphique,Informatique,Mohammedia,1528,4,6112,2026-03-31
108,Scanner,Bureautique,Oujda,1331,18,23958,2026-05-13
109,Projecteur,Bureautique,El Jadida,5072,15,76080,2026-05-30
110,Souris sans fil,Accessoires,Kenitra,104,3,312,2026-05-07
111,Imprimante laser,Bureautique,Safi,2561,8,20488,2026-02-13
112,Routeur WiFi,Reseau,Mohammedia,770,11,8470,2026-03-24
113,Routeur WiFi,Reseau,Oujda,719,7,5033,2026-04-29
114,Projecteur,Bureautique,Nador,5674,12,68088,2026-03-31
115,Projecteur,Bureautique,Tanger,5881,13,76453,2026-02-24
116,Casque audio,Accessoires,Tetouan,388,5,1940,2026-04-21
117,Disque SSD 1To,Stockage,Settat,1256,11,13816,2026-03-10
118,Imprimante laser,Bureautique,Safi,2072,9,18648,2026-03-01
119,Clavier mecanique,Accessoires,Kenitra,470,4,1880,2026-03-10
120,Tablette graphique,Informatique,Casablanca,1616,13,21008,2026-04-13
121,Webcam HD,Accessoires,Fes,462,14,6468,2026-03-28
122,Serveur NAS,Stockage,Laayoune,6934,16,110944,2026-05-20
123,Ecran 24 pouces,Informatique,Beni Mellal,1797,11,19767,2026-01-16
124,Switch 24 ports,Reseau,Tetouan,1912,9,17208,2026-05-24
125,Clavier mecanique,Accessoires,Mohammedia,435,20,8700,2026-04-17
126,Projecteur,Bureautique,Rabat,6038,11,66418,2026-01-04
127,Onduleur,Bureautique,Safi,1344,4,5376,2026-03-10
128,Ordinateur portable,Informatique,Tetouan,9544,15,143160,2026-05-12
129,Tablette graphique,Informatique,Meknes,1712,3,5136,2026-05-23
130,Webcam HD,Accessoires,Safi,470,4,1880,2026-02-09
131,Ecran 24 pouces,Informatique,Kenitra,2124,7,14868,2026-02-13
132,Souris sans fil,Accessoires,Dakhla,125,17,2125,2026-05-31
133,Clavier mecanique,Accessoires,Rabat,399,9,3591,2026-04-18
134,Clavier mecanique,Accessoires,Mohammedia,469,17,7973,2026-03-01
135,Serveur NAS,Stockage,Safi,6708,11,73788,2026-03-30
136,Tablette graphique,Informatique,Tetouan,1628,16,26048,2026-03-25
137,Ordinateur portable,Informatique,Mohammedia,9139,5,45695,2026-01-06
138,Onduleur,Bureautique,El Jadida,1418,15,21270,2026-02-20
139,Imprimante laser,Bureautique,Meknes,2367,13,30771,2026-03-19
140,Tablette graphique,Informatique,Laayoune,1390,14,19460,2026-01-17
141,Serveur NAS,Stockage,Errachidia,6425,10,64250,2026-05-04
142,Souris sans fil,Accessoires,Mohammedia,137,17,2329,2026-03-25
143,Disque SSD 1To,Stockage,Marrakech,1189,12,14268,2026-02-16
144,Webcam HD,Accessoires,Laayoune,483,6,2898,2026-03-07
145,Webcam HD,Accessoires,Casablanca,484,4,1936,2026-02-24
146,Casque audio,Accessoires,Laayoune,327,14,4578,2026-05-11
147,Clavier mecanique,Accessoires,Tanger,463,9,4167,2026-05-06
148,Webcam HD,Accessoires,Beni Mellal,456,11,5016,2026-04-04
149,Webcam HD,Accessoires,Tanger,447,18,8046,2026-02-18
150,Tablette graphique,Informatique,Tanger,1668,5,8340,2026-02-06
151,Onduleur,Bureautique,Rabat,1646,19,31274,2026-01-16
152,Imprimante laser,Bureautique,Tetouan,2590,6,15540,2026-02-05
153,Webcam HD,Accessoires,Agadir,458,5,2290,2026-04-28
154,Clavier mecanique,Accessoires,Nador,491,6,2946,2026-02-09
155,Serveur NAS,Stockage,Kenitra,6621,18,119178,2026-01-08
156,Ecran 24 pouces,Informatique,Settat,1854,18,33372,2026-01-24
157,Serveur NAS,Stockage,Tanger,6891,5,34455,2026-03-25
158,Switch 24 ports,Reseau,Rabat,2158,16,34528,2026-01-02
159,Souris sans fil,Accessoires,Casablanca,116,9,1044,2026-03-26
160,Clavier mecanique,Accessoires,Nador,461,3,1383,2026-04-19
161,Ecran 24 pouces,Informatique,Oujda,2054,6,12324,2026-03-03
162,Serveur NAS,Stockage,Agadir,7370,7,51590,2026-04-06
163,Webcam HD,Accessoires,Settat,502,14,7028,2026-04-19
164,Projecteur,Bureautique,Settat,5081,7,35567,2026-03-21
165,Scanner,Bureautique,Marrakech,1536,20,30720,2026-05-04
166,Scanner,Bureautique,Marrakech,1513,7,10591,2026-01-30
167,Disque SSD 1To,Stockage,Fes,1210,20,24200,2026-02-10
168,Clavier mecanique,Accessoires,Nador,414,14,5796,2026-02-18
169,Ordinateur portable,Informatique,Kenitra,8852,5,44260,2026-03-10
170,Switch 24 ports,Reseau,Laayoune,2053,1,2053,2026-05-03
171,Casque audio,Accessoires,Tanger,406,12,4872,2026-05-05
172,Souris sans fil,Accessoires,El Jadida,135,18,2430,2026-02-26
173,Casque audio,Accessoires,Dakhla,343,19,6517,2026-01-13
174,Disque SSD 1To,Stockage,Settat,1225,3,3675,2026-04-29
175,Disque SSD 1To,Stockage,Fes,1145,17,19465,2026-05-16
176,Projecteur,Bureautique,Taza,4922,2,9844,2026-01-21
177,Ordinateur portable,Informatique,Fes,7433,15,111495,2026-05-25
178,Routeur WiFi,Reseau,Errachidia,847,19,16093,2026-04-27
179,Casque audio,Accessoires,Tanger,363,5,1815,2026-03-23
180,Ordinateur portable,Informatique,Dakhla,7537,3,22611,2026-02-13
181,Projecteur,Bureautique,Errachidia,4884,2,9768,2026-01-19
182,Webcam HD,Accessoires,Kenitra,374,11,4114,2026-02-09
183,Casque audio,Accessoires,Beni Mellal,327,15,4905,2026-03-04
184,Ecran 24 pouces,Informatique,Rabat,1853,11,20383,2026-04-18
185,Casque audio,Accessoires,Meknes,328,6,1968,2026-04-23
186,Onduleur,Bureautique,Mohammedia,1290,16,20640,2026-04-08
187,Webcam HD,Accessoires,Rabat,359,7,2513,2026-04-09
188,Webcam HD,Accessoires,Oujda,425,5,2125,2026-03-17
189,Projecteur,Bureautique,Taza,5368,9,48312,2026-04-21
190,Ordinateur portable,Informatique,Laayoune,8276,17,140692,2026-02-12
191,Souris sans fil,Accessoires,Marrakech,125,7,875,2026-05-31
192,Webcam HD,Accessoires,Fes,381,13,4953,2026-01-29
193,Onduleur,Bureautique,Oujda,1734,13,22542,2026-01-02
194,Ecran 24 pouces,Informatique,Tetouan,1562,6,9372,2026-05-15
195,Scanner,Bureautique,Rabat,1275,9,11475,2026-02-12
196,Ecran 24 pouces,Informatique,Settat,1975,18,35550,2026-01-30
197,Webcam HD,Accessoires,Laayoune,455,12,5460,2026-04-30
198,Serveur NAS,Stockage,Rabat,7296,7,51072,2026-05-04
199,Imprimante laser,Bureautique,Meknes,2028,3,6084,2026-03-13
200,Ordinateur portable,Informatique,Tetouan,8078,2,16156,2026-05-01
201,Souris sans fil,Accessoires,Dakhla,139,18,2502,2026-02-12
202,Serveur NAS,Stockage,Mohammedia,6391,18,115038,2026-03-02
203,Projecteur,Bureautique,Dakhla,4516,12,54192,2026-02-28
204,Routeur WiFi,Reseau,Casablanca,759,8,6072,2026-01-09
205,Routeur WiFi,Reseau,Errachidia,738,3,2214,2026-04-23
206,Clavier mecanique,Accessoires,Meknes,409,6,2454,2026-05-24
207,Webcam HD,Accessoires,Agadir,468,13,6084,2026-03-13
208,Casque audio,Accessoires,Tanger,308,12,3696,2026-01-20
209,Tablette graphique,Informatique,Tanger,1843,8,14744,2026-05-02
210,Serveur NAS,Stockage,Dakhla,7003,6,42018,2026-05-07
211,Souris sans fil,Accessoires,Mohammedia,107,13,1391,2026-01-23
212,Serveur NAS,Stockage,Laayoune,6178,19,117382,2026-03-28
213,Disque SSD 1To,Stockage,Tetouan,967,19,18373,2026-01-06
214,Ecran 24 pouces,Informatique,Errachidia,1602,8,12816,2026-03-19
215,Serveur NAS,Stockage,Kenitra,6520,19,123880,2026-02-15
216,Switch 24 ports,Reseau,Agadir,2175,1,2175,2026-03-29
217,Switch 24 ports,Reseau,Mohammedia,2121,4,8484,2026-03-04
218,Onduleur,Bureautique,Mohammedia,1710,20,34200,2026-05-09
219,Souris sans fil,Accessoires,Kenitra,104,1,104,2026-05-16
220,Clavier mecanique,Accessoires,Settat,446,9,4014,2026-01-06
221,Tablette graphique,Informatique,Casablanca,1525,5,7625,2026-04-08
222,Casque audio,Accessoires,Safi,369,4,1476,2026-02-28
223,Casque audio,Accessoires,Settat,396,13,5148,2026-03-12
224,Onduleur,Bureautique,Settat,1457,10,14570,2026-03-06
225,Switch 24 ports,Reseau,Safi,2242,16,35872,2026-03-17
226,Projecteur,Bureautique,Casablanca,4726,20,94520,2026-05-21
227,Ecran 24 pouces,Informatique,Oujda,1664,10,16640,2026-04-14
228,Projecteur,Bureautique,Fes,5680,11,62480,2026-02-12
229,Ecran 24 pouces,Informatique,Dakhla,1772,20,35440,2026-03-27
230,Routeur WiFi,Reseau,Dakhla,692,18,12456,2026-03-19
231,Webcam HD,Accessoires,Settat,499,9,4491,2026-03-30
232,Ecran 24 pouces,Informatique,Errachidia,1640,10,16400,2026-01-10
233,Projecteur,Bureautique,Taza,4775,6,28650,2026-04-21
234,Clavier mecanique,Accessoires,Rabat,452,13,5876,2026-05-08
235,Tablette graphique,Informatique,Safi,1531,2,3062,2026-05-12
236,Webcam HD,Accessoires,Dakhla,400,14,5600,2026-02-27
237,Scanner,Bureautique,Errachidia,1482,17,25194,2026-03-15
238,Webcam HD,Accessoires,Laayoune,408,12,4896,2026-04-10
239,Ecran 24 pouces,Informatique,Beni Mellal,1538,17,26146,2026-04-20
240,Tablette graphique,Informatique,Dakhla,1859,12,22308,2026-03-04
241,Tablette graphique,Informatique,Oujda,1571,1,1571,2026-01-28
242,Ecran 24 pouces,Informatique,Mohammedia,1640,20,32800,2026-04-11
243,Projecteur,Bureautique,El Jadida,4706,17,80002,2026-02-18
244,Ordinateur portable,Informatique,Meknes,8847,4,35388,2026-01-30
245,Routeur WiFi,Reseau,Laayoune,669,20,13380,2026-03-30
246,Scanner,Bureautique,Safi,1389,14,19446,2026-03-02
247,Imprimante laser,Bureautique,Safi,2677,4,10708,2026-01-17
248,Serveur NAS,Stockage,Fes,5596,14,78344,2026-01-26
249,Projecteur,Bureautique,Safi,5909,18,106362,2026-05-05
250,Tablette graphique,Informatique,Oujda,1461,3,4383,2026-03-30
251,Clavier mecanique,Accessoires,Nador,452,4,1808,2026-05-21
252,Onduleur,Bureautique,Settat,1713,3,5139,2026-01-06
253,Routeur WiFi,Reseau,Mohammedia,867,3,2601,2026-04-24
254,Ordinateur portable,Informatique,Rabat,8560,12,102720,2026-01-26
255,Routeur WiFi,Reseau,Dakhla,685,3,2055,2026-03-07
256,Webcam HD,Accessoires,Agadir,393,4,1572,2026-03-31
257,Ordinateur portable,Informatique,Tetouan,9773,20,195460,2026-03-20
258,Onduleur,Bureautique,El Jadida,1639,4,6556,2026-02-27
259,Scanner,Bureautique,Taza,1447,14,20258,2026-01-22
260,Onduleur,Bureautique,Errachidia,1546,11,17006,2026-04-20
261,Projecteur,Bureautique,Agadir,5472,8,43776,2026-05-15
262,Webcam HD,Accessoires,Errachidia,418,2,836,2026-05-23
263,Imprimante laser,Bureautique,Tetouan,2379,10,23790,2026-04-16
264,Ecran 24 pouces,Informatique,Agadir,1975,19,37525,2026-04-24
265,Disque SSD 1To,Stockage,Kenitra,1248,10,12480,2026-03-09
266,Souris sans fil,Accessoires,Meknes,138,8,1104,2026-01-01
267,Tablette graphique,Informatique,Safi,1693,11,18623,2026-02-01
268,Routeur WiFi,Reseau,Errachidia,807,20,16140,2026-04-29
269,Routeur WiFi,Reseau,Settat,814,12,9768,2026-04-21
270,Tablette graphique,Informatique,Casablanca,1541,13,20033,2026-04-02
271,Onduleur,Bureautique,Mohammedia,1413,12,16956,2026-03-06
272,Ordinateur portable,Informatique,Errachidia,8296,15,124440,2026-01-12
273,Ordinateur portable,Informatique,Dakhla,9794,10,97940,2026-05-19
274,Onduleur,Bureautique,Tetouan,1260,11,13860,2026-04-21
275,Routeur WiFi,Reseau,Meknes,716,9,6444,2026-01-01
276,Ecran 24 pouces,Informatique,Rabat,1566,8,12528,2026-02-15
277,Switch 24 ports,Reseau,Settat,2054,20,41080,2026-05-19
278,Souris sans fil,Accessoires,Errachidia,130,18,2340,2026-05-13
279,Ordinateur portable,Informatique,Oujda,8085,4,32340,2026-04-18
280,Souris sans fil,Accessoires,Marrakech,131,3,393,2026-01-27
281,Tablette graphique,Informatique,Tanger,1849,13,24037,2026-01-10
282,Casque audio,Accessoires,Kenitra,416,18,7488,2026-01-07
283,Routeur WiFi,Reseau,Meknes,879,18,15822,2026-04-23
284,Scanner,Bureautique,Tetouan,1128,10,11280,2026-02-08
285,Serveur NAS,Stockage,Errachidia,7289,18,131202,2026-02-12
286,Routeur WiFi,Reseau,Taza,825,3,2475,2026-04-27
287,Routeur WiFi,Reseau,Casablanca,853,15,12795,2026-02-07
288,Imprimante laser,Bureautique,Nador,2581,4,10324,2026-02-02
289,Ecran 24 pouces,Informatique,Errachidia,1699,15,25485,2026-05-15
290,Clavier mecanique,Accessoires,Casablanca,414,6,2484,2026-03-17
291,Scanner,Bureautique,Marrakech,1151,15,17265,2026-04-09
292,Disque SSD 1To,Stockage,El Jadida,1085,3,3255,2026-01-03
293,Tablette graphique,Informatique,Oujda,1735,9,15615,2026-05-22
294,Ecran 24 pouces,Informatique,Dakhla,1744,3,5232,2026-03-19
295,Webcam HD,Accessoires,Oujda,373,18,6714,2026-01-19
